Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia,date,close
27/12/2016,B,$$,10855.0948,10855.0948,6092541363,36050074056,4,0,BLOOMBERG,2016-12-27,10855.0948
28/12/2016,B,$$,10856.7896,10856.7896,6093492588,36056576973,4,0,BLOOMBERG,2016-12-28,10856.7896
29/12/2016,B,$$,10858.691,10858.691,6094559769,36063766078,4,0,BLOOMBERG,2016-12-29,10858.691
30/12/2016,B,$$,10860.1036,10860.1036,6095352607,36069333191,4,0,BLOOMBERG,2016-12-30,10860.1036
31/12/2016,B,$$,10861.6937,10861.6937,6096245068,36075489293,4,0,BLOOMBERG,2016-12-31,10861.6937
01/01/2017,B,$$,10863.3281,10863.3281,6097162393,36081794987,4,0,BLOOMBERG,2017-01-01,10863.3281
02/01/2017,B,$$,10863.3281,10863.3281,6097162393,36081794987,4,0,BLOOMBERG,2017-01-02,10863.3281
03/01/2017,B,$$,10867.3181,10867.3181,6099401824,36096799993,4,0,BLOOMBERG,2017-01-03,10867.3181
04/01/2017,B,$$,10868.4333,10868.4333,6100027742,36101383060,4,0,BLOOMBERG,2017-01-04,10868.4333
05/01/2017,B,$$,10871.2169,10871.2169,6101590069,36111503067,4,0,BLOOMBERG,2017-01-05,10871.2169
06/01/2017,B,$$,10872.316,10872.316,6102206950,36116032930,4,0,BLOOMBERG,2017-01-06,10872.316
07/01/2017,B,$$,10873.8804,10873.8804,6103084987,36122106935,4,0,BLOOMBERG,2017-01-07,10873.8804
08/01/2017,B,$$,10875.4447,10875.4447,6103962968,36128180940,4,0,BLOOMBERG,2017-01-08,10875.4447
09/01/2017,B,$$,10877.8221,10877.8221,6105297310,36136953703,4,0,BLOOMBERG,2017-01-09,10877.8221
10/01/2017,B,$$,10880.4177,10880.4177,6106754119,36117699942,4,0,BLOOMBERG,2017-01-10,10880.4177
11/01/2017,B,$$,10880.6253,10880.6253,6106870637,36119271889,4,0,BLOOMBERG,2017-01-11,10880.6253
12/01/2017,B,$$,10883.075,10883.075,6108245558,36128284831,4,0,BLOOMBERG,2017-01-12,10883.075
13/01/2017,B,$$,10884.9581,10884.9581,6109302468,36135417413,4,0,BLOOMBERG,2017-01-13,10884.9581
14/01/2017,B,$$,10886.4613,10886.4613,6110146156,36141289478,4,0,BLOOMBERG,2017-01-14,10886.4613
15/01/2017,B,$$,10887.9611,10887.9611,6110987935,36147150164,4,0,BLOOMBERG,2017-01-15,10887.9611
16/01/2017,B,$$,10889.9864,10889.9864,6112124657,36154755042,4,0,BLOOMBERG,2017-01-16,10889.9864
17/01/2017,B,$$,10891.3534,10891.3534,6112891901,36160175506,4,0,BLOOMBERG,2017-01-17,10891.3534
