Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia,date,close
14/09/2016,B,$$,1100.4618,1100.4618,7175760350,22052372077,2,0,BLOOMBERG,2016-09-14,1100.4618
21/09/2016,B,$$,10564.7377,10564.7377,742563719,13142257821,1,0,BLOOMBERG,2016-09-21,10564.7377
22/09/2016,B,$$,10567.3351,10567.3351,742746282,13317165801,1,0,BLOOMBERG,2016-09-22,10567.3351
23/09/2016,B,$$,10571.2149,10571.2149,743018982,13185947221,1,0,BLOOMBERG,2016-09-23,10571.2149
24/09/2016,B,$$,10571.9551,10571.9551,743071008,13187211878,1,0,BLOOMBERG,2016-09-24,10571.9551
25/09/2016,B,$$,10572.5997,10572.5997,743116315,13188357524,1,0,BLOOMBERG,2016-09-25,10572.5997
26/09/2016,B,$$,10574.7618,10574.7618,743268283,13192042141,1,0,BLOOMBERG,2016-09-26,10574.7618
27/09/2016,B,$$,10578.6614,10578.6614,743542374,13355159599,1,0,BLOOMBERG,2016-09-27,10578.6614
28/09/2016,B,$$,10581.8193,10581.8193,743764333,13605682452,1,0,BLOOMBERG,2016-09-28,10581.8193
29/09/2016,B,$$,10584.5548,10584.5548,743956603,13460689110,1,0,BLOOMBERG,2016-09-29,10584.5548
30/09/2016,B,$$,10585.4144,10585.4144,744017022,13530719674,1,0,BLOOMBERG,2016-09-30,10585.4144
01/10/2016,B,$$,10586.0958,10586.0958,744064915,13531940897,1,0,BLOOMBERG,2016-10-01,10586.0958
02/10/2016,B,$$,10586.8082,10586.8082,744114988,13533201745,1,0,BLOOMBERG,2016-10-02,10586.8082
03/10/2016,B,$$,10587.9154,10587.9154,744192810,13534966759,1,0,BLOOMBERG,2016-10-03,10587.9154
04/10/2016,B,$$,10593.137,10593.137,744559820,13542880415,1,0,BLOOMBERG,2016-10-04,10593.137
05/10/2016,B,$$,10595.4701,10595.4701,744723807,13557968903,1,0,BLOOMBERG,2016-10-05,10595.4701
06/10/2016,B,$$,10599.9755,10599.9755,745040478,13564672338,1,0,BLOOMBERG,2016-10-06,10599.9755
07/10/2016,B,$$,10591.227,10591.227,744425572,13554118484,1,0,BLOOMBERG,2016-10-07,10591.227
08/10/2016,B,$$,10591.8412,10591.8412,744468742,13555238447,1,0,BLOOMBERG,2016-10-08,10591.8412
09/10/2016,B,$$,10592.6732,10592.6732,744527221,13556636831,1,0,BLOOMBERG,2016-10-09,10592.6732
10/10/2016,B,$$,10593.2572,10593.2572,744568269,13557718132,1,0,BLOOMBERG,2016-10-10,10593.2572
11/10/2016,B,$$,10593.4096,10593.4096,744578981,13628792842,1,0,BLOOMBERG,2016-10-11,10593.4096
12/10/2016,B,$$,10591.4182,10591.4182,744439011,13627806631,1,0,BLOOMBERG,2016-10-12,10591.4182
13/10/2016,B,$$,10593.5221,10593.5221,744586888,13613595558,1,0,BLOOMBERG,2016-10-13,10593.5221
14/10/2016,B,$$,10597.5555,10597.5555,744870383,13618956565,1,0,BLOOMBERG,2016-10-14,10597.5555
15/10/2016,B,$$,10598.6973,10598.6973,744950637,13620760020,1,0,BLOOMBERG,2016-10-15,10598.6973
16/10/2016,B,$$,10600.036,10600.036,745044730,13622816201,1,0,BLOOMBERG,2016-10-16,10600.036
17/10/2016,B,$$,10597.1287,10597.1287,744840385,13608074798,1,0,BLOOMBERG,2016-10-17,10597.1287
18/10/2016,B,$$,10596.8834,10596.8834,744823144,13638488761,1,0,BLOOMBERG,2016-10-18,10596.8834
19/10/2016,B,$$,10594.6001,10594.6001,744662657,13773587560,1,0,BLOOMBERG,2016-10-19,10594.6001
20/10/2016,B,$$,10592.0152,10592.0152,744480972,13709862605,1,0,BLOOMBERG,2016-10-20,10592.0152
21/10/2016,B,$$,10588.1912,10588.1912,744212195,13705383297,1,0,BLOOMBERG,2016-10-21,10588.1912
22/10/2016,B,$$,10589.4873,10589.4873,744303294,13707401219,1,0,BLOOMBERG,2016-10-22,10589.4873
23/10/2016,B,$$,10590.6042,10590.6042,744381797,13709187315,1,0,BLOOMBERG,2016-10-23,10590.6042
24/10/2016,B,$$,10588.5985,10588.5985,744240823,13704958940,1,0,BLOOMBERG,2016-10-24,10588.5985
25/10/2016,B,$$,10585.7784,10585.7784,744042606,13701667037,1,0,BLOOMBERG,2016-10-25,10585.7784
26/10/2016,B,$$,10585.1042,10585.1042,743995219,13821499876,1,0,BLOOMBERG,2016-10-26,10585.1042
27/10/2016,B,$$,10581.7483,10581.7483,743759343,13910522241,1,0,BLOOMBERG,2016-10-27,10581.7483
28/10/2016,B,$$,10577.3627,10577.3627,743451092,13691848311,1,0,BLOOMBERG,2016-10-28,10577.3627
29/10/2016,B,$$,10578.6884,10578.6884,743544272,13693918080,1,0,BLOOMBERG,2016-10-29,10578.6884
