Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia,date,close
11/01/2017,A,$$,31773.3725,31773.3725,95544119776,141139617187,8,0,BLOOMBERG,2017-01-11,31773.3725
12/01/2017,A,$$,31806.1649,31806.1649,95642728163,141193228944,8,0,BLOOMBERG,2017-01-12,31806.1649
13/01/2017,A,$$,31819.3625,31819.3625,95682414006,141578874040,8,0,BLOOMBERG,2017-01-13,31819.3625
14/01/2017,A,$$,31824.6036,31824.6036,95698174255,141607868410,8,0,BLOOMBERG,2017-01-14,31824.6036
15/01/2017,A,$$,31829.7866,31829.7866,95713759796,141637039872,8,0,BLOOMBERG,2017-01-15,31829.7866
16/01/2017,A,$$,31839.819,31839.819,95743927724,141381009076,8,0,BLOOMBERG,2017-01-16,31839.819
17/01/2017,A,$$,31782.2809,31782.2809,96783083974,141843874703,8,0,BLOOMBERG,2017-01-17,31782.2809
18/01/2017,A,$$,31774.452,31774.452,96759243486,141803255249,8,0,BLOOMBERG,2017-01-18,31774.452
19/01/2017,A,$$,31924.5214,31924.5214,97216233322,142583908802,8,0,BLOOMBERG,2017-01-19,31924.5214
20/01/2017,A,$$,31796.3736,31796.3736,96825998923,142181491955,8,0,BLOOMBERG,2017-01-20,31796.3736
21/01/2017,A,$$,31798.4341,31798.4341,96832273537,142214092068,8,0,BLOOMBERG,2017-01-21,31798.4341
22/01/2017,A,$$,31804.9425,31804.9425,96852092852,142247472265,8,0,BLOOMBERG,2017-01-22,31804.9425
23/01/2017,A,$$,31831.8361,31831.8361,97159453868,142663621963,8,0,BLOOMBERG,2017-01-23,31831.8361
24/01/2017,A,$$,31856.2445,31856.2445,97233954969,144107003646,8,0,BLOOMBERG,2017-01-24,31856.2445
25/01/2017,A,$$,31861.6704,31861.6704,97250516297,143826672190,8,0,BLOOMBERG,2017-01-25,31861.6704
26/01/2017,A,$$,31877.5401,31877.5401,97298954954,143170685000,8,0,BLOOMBERG,2017-01-26,31877.5401
27/01/2017,A,$$,31892.1399,31892.1399,97343517529,142915723321,8,0,BLOOMBERG,2017-01-27,31892.1399
28/01/2017,A,$$,31898.1608,31898.1608,97361894959,142948561544,8,0,BLOOMBERG,2017-01-28,31898.1608
29/01/2017,A,$$,31904.0209,31904.0209,97379781585,142981553859,8,0,BLOOMBERG,2017-01-29,31904.0209
30/01/2017,A,$$,31893.6279,31893.6279,97348059311,142920919731,8,0,BLOOMBERG,2017-01-30,31893.6279
31/01/2017,A,$$,31900.0903,31900.0903,97367784320,142701567760,8,0,BLOOMBERG,2017-01-31,31900.0903
01/02/2017,A,$$,31913.4546,31913.4546,97408575812,142768765849,8,0,BLOOMBERG,2017-02-01,31913.4546
02/02/2017,A,$$,31937.9642,31937.9642,98310515199,143728078944,8,0,BLOOMBERG,2017-02-02,31937.9642
03/02/2017,A,$$,31949.4849,31949.4849,98345977884,144332335932,8,0,BLOOMBERG,2017-02-03,31949.4849
04/02/2017,A,$$,31955.7841,31955.7841,98365367899,144367385709,8,0,BLOOMBERG,2017-02-04,31955.7841
05/02/2017,A,$$,31961.9018,31961.9018,98384199226,144401801646,8,0,BLOOMBERG,2017-02-05,31961.9018
06/02/2017,A,$$,31961.7897,31961.7897,98391620878,144406594099,9,0,BLOOMBERG,2017-02-06,31961.7897
07/02/2017,A,$$,31990.3604,31990.3604,98505581483,144035683473,8,0,BLOOMBERG,2017-02-07,31990.3604
08/02/2017,A,$$,32026.4208,32026.4208,98842405907,144376488178,8,0,BLOOMBERG,2017-02-08,32026.4208
09/02/2017,A,$$,32034.2365,32034.2365,98866527323,144501218384,8,0,BLOOMBERG,2017-02-09,32034.2365
10/02/2017,A,$$,32038.6093,32038.6093,98880022995,144527568277,8,0,BLOOMBERG,2017-02-10,32038.6093
11/02/2017,A,$$,32047.1559,32047.1559,98906400170,144574921085,8,0,BLOOMBERG,2017-02-11,32047.1559
12/02/2017,A,$$,32055.8946,32055.8946,98933370218,144622791423,8,0,BLOOMBERG,2017-02-12,32055.8946
13/02/2017,A,$$,32060.5136,32060.5136,98947625732,144826597638,8,0,BLOOMBERG,2017-02-13,32060.5136
14/02/2017,A,$$,32070.5707,32070.5707,99574888708,145806450231,8,0,BLOOMBERG,2017-02-14,32070.5707
15/02/2017,A,$$,32076.111,32076.111,99648512488,146216737655,8,0,BLOOMBERG,2017-02-15,32076.111
16/02/2017,A,$$,32088.8397,32088.8397,100533500470,146776499421,8,0,BLOOMBERG,2017-02-16,32088.8397
17/02/2017,A,$$,32113.1614,32113.1614,100609699724,146572203756,8,0,BLOOMBERG,2017-02-17,32113.1614
18/02/2017,A,$$,32122.2481,32122.2481,100638168119,146620657614,8,0,BLOOMBERG,2017-02-18,32122.2481
19/02/2017,A,$$,32131.1154,32131.1154,100665949139,146670031456,8,0,BLOOMBERG,2017-02-19,32131.1154
20/02/2017,A,$$,32128.9674,32128.9674,100659219511,146644057612,8,0,BLOOMBERG,2017-02-20,32128.9674
21/02/2017,A,$$,32137.5373,32137.5373,100686068785,150005461829,8,0,BLOOMBERG,2017-02-21,32137.5373
22/02/2017,A,$$,32153.9873,32153.9873,100737606207,148113490787,8,0,BLOOMBERG,2017-02-22,32153.9873
23/02/2017,A,$$,32169.4898,32169.4898,100786175137,150060856026,8,0,BLOOMBERG,2017-02-23,32169.4898
24/02/2017,A,$$,32191.3351,32191.3351,100854615894,150122038072,8,0,BLOOMBERG,2017-02-24,32191.3351
25/02/2017,A,$$,32200.6873,32200.6873,100883916093,150172709639,8,0,BLOOMBERG,2017-02-25,32200.6873
26/02/2017,A,$$,32209.9907,32209.9907,100913063403,150224853863,8,0,BLOOMBERG,2017-02-26,32209.9907
27/02/2017,A,$$,32196.4745,32196.4745,100870717500,150108385397,8,0,BLOOMBERG,2017-02-27,32196.4745
28/02/2017,A,$$,32215.992,32215.992,100931865320,148322932352,8,0,BLOOMBERG,2017-02-28,32215.992
01/03/2017,A,$$,32221.7821,32221.7821,100950005553,148575879429,8,0,BLOOMBERG,2017-03-01,32221.7821
02/03/2017,A,$$,32268.0515,32268.0515,101094966380,149535519880,8,0,BLOOMBERG,2017-03-02,32268.0515
03/03/2017,A,$$,32263.9012,32263.9012,101081963598,150792623315,8,0,BLOOMBERG,2017-03-03,32263.9012
04/03/2017,A,$$,32272.6018,32272.6018,101109222352,150842817593,8,0,BLOOMBERG,2017-03-04,32272.6018
05/03/2017,A,$$,32281.9325,32281.9325,101138455192,150893504207,8,0,BLOOMBERG,2017-03-05,32281.9325
06/03/2017,A,$$,32275.0873,32275.0873,101117009359,151416938168,8,0,BLOOMBERG,2017-03-06,32275.0873
07/03/2017,A,$$,32279.4629,32279.4629,101130718000,150877219922,8,0,BLOOMBERG,2017-03-07,32279.4629
08/03/2017,A,$$,32274.463,32274.463,101115053443,149571056091,8,0,BLOOMBERG,2017-03-08,32274.463
09/03/2017,A,$$,32231.1161,32231.1161,100979248732,149193444180,8,0,BLOOMBERG,2017-03-09,32231.1161
10/03/2017,A,$$,32221.5839,32221.5839,100949384598,149065225550,8,0,BLOOMBERG,2017-03-10,32221.5839
11/03/2017,A,$$,32230.6638,32230.6638,100977831688,149115206102,8,0,BLOOMBERG,2017-03-11,32230.6638
12/03/2017,A,$$,32240.0345,32240.0345,101007189848,149165220970,8,0,BLOOMBERG,2017-03-12,32240.0345
13/03/2017,A,$$,32238.462,32238.462,101019285154,149304790352,8,0,BLOOMBERG,2017-03-13,32238.462
14/03/2017,A,$$,32234.387,32234.387,101006516133,149700781587,8,0,BLOOMBERG,2017-03-14,32234.387
15/03/2017,A,$$,32240.6605,32240.6605,101107194938,149562108606,8,0,BLOOMBERG,2017-03-15,32240.6605
16/03/2017,A,$$,32259.2636,32259.2636,101165534539,149126097843,8,0,BLOOMBERG,2017-03-16,32259.2636
17/03/2017,A,$$,32295.3162,32295.3162,101278596033,149328310400,8,0,BLOOMBERG,2017-03-17,32295.3162
18/03/2017,A,$$,32306.1518,32306.1518,101312576637,149383108726,8,0,BLOOMBERG,2017-03-18,32306.1518
19/03/2017,A,$$,32316.5394,32316.5394,101345152306,149439056599,8,0,BLOOMBERG,2017-03-19,32316.5394
20/03/2017,A,$$,32342.7758,32342.7758,101427430050,149639801123,8,0,BLOOMBERG,2017-03-20,32342.7758
21/03/2017,A,$$,32355.8577,32355.8577,101468455085,151465561706,8,0,BLOOMBERG,2017-03-21,32355.8577
22/03/2017,A,$$,32353.1288,32353.1288,101459897214,151534999278,8,0,BLOOMBERG,2017-03-22,32353.1288
23/03/2017,A,$$,32391.9443,32391.9443,101581623204,151676833625,8,0,BLOOMBERG,2017-03-23,32391.9443
24/03/2017,A,$$,32416.94,32416.94,101660010094,151046039607,9,0,BLOOMBERG,2017-03-24,32416.94
25/03/2017,A,$$,32428.103,32428.103,101695017430,151104578399,9,0,BLOOMBERG,2017-03-25,32428.103
26/03/2017,A,$$,32439.072,32439.072,101729416378,151162811698,9,0,BLOOMBERG,2017-03-26,32439.072
27/03/2017,A,$$,32441.2117,32441.2117,101736126509,151764276657,9,0,BLOOMBERG,2017-03-27,32441.2117
28/03/2017,A,$$,32466.2742,32466.2742,101814722885,152639423803,9,0,BLOOMBERG,2017-03-28,32466.2742
29/03/2017,A,$$,32488.6837,32488.6837,101884999413,150850092186,9,0,BLOOMBERG,2017-03-29,32488.6837
30/03/2017,A,$$,32506.3285,32506.3285,101940333771,151251342739,9,0,BLOOMBERG,2017-03-30,32506.3285
31/03/2017,A,$$,32507.8883,32507.8883,101945225327,150997470459,9,0,BLOOMBERG,2017-03-31,32507.8883
01/04/2017,A,$$,32519.8643,32519.8643,101982782243,151062671369,9,0,BLOOMBERG,2017-04-01,32519.8643
02/04/2017,A,$$,32532.026,32532.026,102020921516,151127609916,9,0,BLOOMBERG,2017-04-02,32532.026
03/04/2017,A,$$,32514.2159,32514.2159,101965068776,150647126594,9,0,BLOOMBERG,2017-04-03,32514.2159
04/04/2017,A,$$,32533.8433,32533.8433,102026620596,148926042954,9,0,BLOOMBERG,2017-04-04,32533.8433
05/04/2017,A,$$,32568.2013,32568.2013,102216960758,148978491313,9,0,BLOOMBERG,2017-04-05,32568.2013
06/04/2017,A,$$,32592.3865,32592.3865,102352055016,149165777614,9,0,BLOOMBERG,2017-04-06,32592.3865
07/04/2017,A,$$,32605.9623,32605.9623,102515362677,149219844655,9,0,BLOOMBERG,2017-04-07,32605.9623
08/04/2017,A,$$,32620.9939,32620.9939,102562623049,149301543927,9,0,BLOOMBERG,2017-04-08,32620.9939
09/04/2017,A,$$,32636.4543,32636.4543,102611231598,149385174282,9,0,BLOOMBERG,2017-04-09,32636.4543
10/04/2017,A,$$,32578.5452,32578.5452,102429161450,149240942627,9,0,BLOOMBERG,2017-04-10,32578.5452
11/04/2017,A,$$,32572.7596,32572.7596,103224671238,150856473071,9,0,BLOOMBERG,2017-04-11,32572.7596
12/04/2017,A,$$,32616.988,32616.988,105152244147,152884305050,9,0,BLOOMBERG,2017-04-12,32616.988
13/04/2017,A,$$,32631.1242,32631.1242,105734370696,153490442552,10,0,BLOOMBERG,2017-04-13,32631.1242
15/04/2017,A,$$,32677.1714,32677.1714,105883577070,153735895619,10,0,BLOOMBERG,2017-04-15,32677.1714
16/04/2017,A,$$,32700.9802,32700.9802,105960724534,153865797607,10,0,BLOOMBERG,2017-04-16,32700.9802
17/04/2017,A,$$,32650.1486,32650.1486,105796015307,152299112254,10,0,BLOOMBERG,2017-04-17,32650.1486
18/04/2017,A,$$,32655.3043,32655.3043,105812721281,152342855973,11,0,BLOOMBERG,2017-04-18,32655.3043
20/04/2017,A,$$,32683.6386,32683.6386,105904532686,152493064288,11,0,BLOOMBERG,2017-04-20,32683.6386
21/04/2017,A,$$,32720.4635,32720.4635,106023856115,154708468297,11,0,BLOOMBERG,2017-04-21,32720.4635
22/04/2017,A,$$,32767.6536,32767.6536,106176765819,154965847267,11,0,BLOOMBERG,2017-04-22,32767.6536
23/04/2017,A,$$,32816.769,32816.769,106335914057,155234006249,11,0,BLOOMBERG,2017-04-23,32816.769
24/04/2017,A,$$,32771.3153,32771.3153,106188630796,155434864935,11,0,BLOOMBERG,2017-04-24,32771.3153
25/04/2017,A,$$,32771.0315,32771.0315,106849358327,156206789551,11,0,BLOOMBERG,2017-04-25,32771.0315
26/04/2017,A,$$,32777.7661,32777.7661,110446682318,163142057642,11,0,BLOOMBERG,2017-04-26,32777.7661
27/04/2017,A,$$,32794.806,32794.806,111645489728,163994891829,11,0,BLOOMBERG,2017-04-27,32794.806
28/04/2017,A,$$,32789.5191,32789.5191,113449899873,168133747282,11,0,BLOOMBERG,2017-04-28,32789.5191
29/04/2017,A,$$,32793.7424,32793.7424,113464512254,168161050045,11,0,BLOOMBERG,2017-04-29,32793.7424
