date,nav
2020-04-02T00:00:00,43.3869
2020-04-01T00:00:00,43.3815
2020-03-31T00:00:00,44.177
2020-03-30T00:00:00,43.633
2020-03-29T00:00:00,44.7551
2020-03-28T00:00:00,44.7485
2020-03-27T00:00:00,44.742
2020-03-26T00:00:00,44.7315
2020-03-25T00:00:00,43.1652
2020-03-24T00:00:00,42.2027
2020-03-23T00:00:00,41.3542
2020-03-22T00:00:00,43.4608
2020-03-21T00:00:00,43.4545
2020-03-20T00:00:00,43.4483
2020-03-19T00:00:00,43.3064
2020-03-18T00:00:00,44.3144
2020-03-17T00:00:00,47.0268
2020-03-16T00:00:00,47.825
2020-03-15T00:00:00,50.1177
2020-03-14T00:00:00,50.1107
2020-03-13T00:00:00,50.1037
2020-03-12T00:00:00,50.261
2020-03-11T00:00:00,52.9747
2020-03-10T00:00:00,55.3616
2020-03-09T00:00:00,54.8451
2020-03-08T00:00:00,58.2888
2020-03-07T00:00:00,58.2814
2020-03-06T00:00:00,58.274
2020-03-05T00:00:00,59.2112
2020-03-04T00:00:00,60.2323
2020-03-03T00:00:00,60.2645
2020-03-02T00:00:00,59.9491
2020-03-01T00:00:00,59.2048
2020-02-29T00:00:00,59.1921
2020-02-28T00:00:00,59.184
2020-02-27T00:00:00,60.3044
2020-02-26T00:00:00,61.3563
2020-02-25T00:00:00,62.0833
2020-02-24T00:00:00,62.1497
2020-02-23T00:00:00,62.5674
2020-02-22T00:00:00,62.5599
2020-02-21T00:00:00,62.5524
2020-02-20T00:00:00,62.565
2020-02-19T00:00:00,63.0663
2020-02-18T00:00:00,62.9967
2020-02-17T00:00:00,63.2597
2020-02-16T00:00:00,63.3854
2020-02-15T00:00:00,63.3779
2020-02-14T00:00:00,63.3704
2020-02-13T00:00:00,63.0155
2020-02-12T00:00:00,63.0137
2020-02-11T00:00:00,62.8516
2020-02-10T00:00:00,62.4745
2020-02-09T00:00:00,62.4395
2020-02-08T00:00:00,62.429
2020-02-07T00:00:00,62.4213
2020-02-06T00:00:00,62.905
2020-02-05T00:00:00,63.129
2020-02-04T00:00:00,62.8734
2020-02-03T00:00:00,62.4862
2020-02-02T00:00:00,62.0501
2020-02-01T00:00:00,62.0407
2020-01-31T00:00:00,62.0315
2020-01-30T00:00:00,62.2251
2020-01-29T00:00:00,62.7063
2020-01-28T00:00:00,62.7329
2020-01-27T00:00:00,62.3084
2020-01-26T00:00:00,62.7521
2020-01-25T00:00:00,62.7442
2020-01-24T00:00:00,62.7376
2020-01-23T00:00:00,62.8884
2020-01-22T00:00:00,63.0458
2020-01-21T00:00:00,62.7405
2020-01-20T00:00:00,62.9843
2020-01-19T00:00:00,63.0746
2020-01-18T00:00:00,63.0666
2020-01-17T00:00:00,63.0586
2020-01-16T00:00:00,62.8278
2020-01-15T00:00:00,62.8462
2020-01-14T00:00:00,63.0443
2020-01-13T00:00:00,63.0716
2020-01-12T00:00:00,63.3347
2020-01-11T00:00:00,63.3265
2020-01-10T00:00:00,63.3184
2020-01-09T00:00:00,63.2026
2020-01-08T00:00:00,63.3225
2020-01-07T00:00:00,62.9627
2020-01-06T00:00:00,62.9313
2020-01-05T00:00:00,62.9027
2020-01-04T00:00:00,62.8931
2020-01-03T00:00:00,62.8835
2020-01-02T00:00:00,63.2802
2020-01-01T00:00:00,63.0786
2019-12-31T00:00:00,63.0667
30/12/20109,63.0821
2019-12-29T00:00:00,62.9802
2019-12-28T00:00:00,62.9685
2019-12-27T00:00:00,62.9602
2019-12-26T00:00:00,62.9334
2019-12-25T00:00:00,62.3215
2019-12-24T00:00:00,62.2578
2019-12-23T00:00:00,62.04
2019-12-22T00:00:00,61.796
2019-12-21T00:00:00,62.0393
2019-12-20T00:00:00,62.0307
2019-12-19T00:00:00,62.2121
2019-12-18T00:00:00,62.2028
2019-12-17T00:00:00,61.8676
2019-12-16T00:00:00,61.6045
2019-12-15T00:00:00,61.2335
2019-12-14T00:00:00,61.2314
2019-12-13T00:00:00,61.2229
2019-12-12T00:00:00,61.3811
2019-12-11T00:00:00,60.7857
2019-12-10T00:00:00,60.3516
2019-12-09T00:00:00,60.4204
2019-12-08T00:00:00,60.0702
2019-12-07T00:00:00,60.0617
2019-12-06T00:00:00,60.0532
2019-12-05T00:00:00,59.4652
2019-12-04T00:00:00,59.1933
2019-12-03T00:00:00,58.8402
2019-12-02T00:00:00,58.7338
2019-12-01T00:00:00,58.6203
2019-11-30T00:00:00,58.6104
2019-11-29T00:00:00,58.6014
2019-11-28T00:00:00,58.7352
2019-11-27T00:00:00,58.493
2019-11-26T00:00:00,58.6597
2019-11-25T00:00:00,58.9031
2019-11-24T00:00:00,59.2042
2019-11-23T00:00:00,59.1957
2019-11-22T00:00:00,59.1873
2019-11-21T00:00:00,59.1462
2019-11-20T00:00:00,58.8938
2019-11-19T00:00:00,59.2402
2019-11-18T00:00:00,59.4385
2019-11-17T00:00:00,59.6232
2019-11-16T00:00:00,59.6146
2019-11-15T00:00:00,59.606
2019-11-14T00:00:00,59.1189
2019-11-13T00:00:00,59.3265
2019-11-12T00:00:00,59.7375
2019-11-11T00:00:00,60.6283
2019-11-10T00:00:00,60.5354
2019-11-09T00:00:00,60.5267
2019-11-08T00:00:00,60.5044
2019-11-07T00:00:00,60.9683
2019-11-06T00:00:00,61.1021
2019-11-05T00:00:00,61.554
2019-11-04T00:00:00,61.3562
2019-03-01T00:00:00,61.4869
2019-11-02T00:00:00,61.4714
2019-11-01T00:00:00,61.4611
2019-10-31T00:00:00,60.97
2019-10-30T00:00:00,61.0308
2019-10-29T00:00:00,61.0316
2019-10-28T00:00:00,60.9985
2019-10-27T00:00:00,60.9802
2019-10-26T00:00:00,60.9634
2019-10-25T00:00:00,60.9546
2019-10-24T00:00:00,60.5562
2019-10-23T00:00:00,60.7146
2019-10-22T00:00:00,60.1662
2019-10-21T00:00:00,60.0648
2019-10-20T00:00:00,60.2639
2019-10-19T00:00:00,60.2553
2019-10-18T00:00:00,60.2467
2019-10-17T00:00:00,59.7774
2019-10-16T00:00:00,59.8009
2019-10-15T00:00:00,59.7265
2019-10-14T00:00:00,60.1788
2019-10-13T00:00:00,60.2303
2019-10-12T00:00:00,60.2217
2019-10-11T00:00:00,60.0615
2019-10-10T00:00:00,59.4546
2019-10-09T00:00:00,59.2087
2019-10-08T00:00:00,59.1003
2019-10-07T00:00:00,59.0624
2019-10-06T00:00:00,59.3302
2019-10-05T00:00:00,59.2948
2019-10-04T00:00:00,59.2863
2019-10-03T00:00:00,59.0055
2019-10-02T00:00:00,58.3316
2019-10-01T00:00:00,58.2556
2019-09-30T00:00:00,58.3476
2019-09-29T00:00:00,58.3216
2019-09-28T00:00:00,58.286
2019-09-27T00:00:00,58.2772
2019-09-26T00:00:00,58.2023
2019-09-25T00:00:00,58.2824
2019-09-24T00:00:00,58.2341
2019-09-23T00:00:00,58.1416
