date,close
2020-03-05,11739.29
2020-03-03,11730
2020-03-02,11700
2020-02-28,11750
2020-02-27,11750
2020-02-26,11900
2020-02-25,11750
2020-02-24,11900
2020-02-20,12000
2020-02-19,12000
2020-02-18,12020
2020-02-17,12000
2020-02-14,12035
2020-02-13,12074
2020-02-12,12070
2020-02-11,12074.6299
2020-02-10,12050
2020-02-06,12090
2020-02-05,12099.4502
2020-01-31,12100
2020-01-30,12150
2020-01-29,12141.6104
2020-01-28,12099
2020-01-27,12100
2020-01-24,12100
2020-01-23,12100
2020-01-21,12130
2020-01-20,12130
2020-01-16,12150
2020-01-15,12150
2020-01-10,11980
2020-01-09,11920
2020-01-08,11980
2020-01-03,11935
2019-12-27,11930
2019-12-26,11952.6201
2019-12-23,11920
2019-12-19,11920
2019-12-18,11920
2019-12-17,11920
2019-12-16,11920
2019-12-13,11920
2019-12-12,11899.2402
2019-12-11,11850
2019-12-10,11850
2019-12-09,11850
2019-12-06,11850
2019-12-05,11893.7305
2019-12-04,11850
2019-12-03,11850
2019-12-02,11900
2019-11-29,11976.5801
2019-11-28,11850
2019-11-25,12000
2019-11-20,12150
2019-11-19,12150
2019-11-18,12250
2019-11-15,12251
2019-11-14,11700
2019-11-13,11726
2019-11-12,12000
2019-11-11,12300
2019-11-08,12350
2019-11-07,12400
2019-11-06,12400
2019-11-05,12500
2019-10-30,12599
2019-10-29,12612
2019-10-25,12611
2019-10-24,12611
2019-10-23,12611
2019-10-21,12611
2019-10-18,12924
2019-10-17,12957
2019-10-16,12945
2019-10-15,12953
2019-10-14,12925
2019-10-11,12836
2019-10-10,12812
2019-10-09,12811
2019-10-07,12850
2019-10-04,12850
2019-10-03,12840
2019-10-02,12840
2019-10-01,12850
2019-09-30,12820
2019-09-27,12800
2019-09-26,12800
2019-09-25,12800
2019-09-24,12803
2019-09-23,12880
2019-09-17,12900
2019-09-13,12950
2019-09-12,12930
2019-09-11,12900
2019-09-10,12900
2019-09-09,12867
2019-09-06,12900
2019-09-05,12845
2019-09-04,12721
2019-09-03,12745
2019-08-30,12720
2019-08-29,12740
2019-08-28,12795
2019-08-27,12850
2019-08-26,12801
2019-08-23,12970
2019-08-22,12957
2019-08-21,13000
2019-08-20,13000
2019-08-19,13120
2019-08-16,13120
2019-08-14,13147
2019-08-13,13200
2019-08-12,13300
2019-08-09,13437
2019-08-08,13402
2019-08-06,13381
2019-08-05,13380
2019-07-31,13380
